I0,I1,I2,I3,I4,I5
59.231831,11.731330,23.346622,-6.000000,4.466667,3.666667
59.549778,14.174673,21.754038,-6.233333,4.033333,3.900000
59.845039,13.644962,20.346130,-6.133333,4.000000,3.733333
60.123100,12.899441,19.053289,-5.900000,3.700000,3.366667
60.398823,12.602703,17.933691,-5.866667,3.733333,3.800000
60.670372,15.632175,17.535755,-6.133333,3.200000,3.533333
60.931637,12.740919,16.704035,-5.700000,3.233333,3.633333
61.180370,15.340162,16.468992,-5.866667,2.666667,3.533333
61.415775,13.499574,15.954561,-5.633333,2.766667,3.433333
61.642612,16.387012,16.031782,-6.000000,2.600000,4.066667
61.872013,12.655869,15.446590,-5.400000,2.466667,4.533333
62.112652,12.061600,14.859920,-5.233333,2.233333,4.700000
62.359211,10.869458,14.167984,-5.066667,2.200000,4.466667
62.611217,11.579421,13.719945,-4.833333,1.300000,4.966667
62.862602,10.029007,13.080152,-4.733333,1.533333,4.800000
63.118130,11.398193,12.789840,-4.800000,1.266667,4.733333
63.385044,9.454261,12.211995,-4.533333,1.133333,4.600000
63.650311,9.452960,11.734421,-4.600000,1.333333,3.866667
63.905487,9.644222,11.373096,-4.700000,1.566667,3.433333
64.130318,8.134508,10.811751,-4.666667,2.000000,2.866667
64.316689,6.780105,10.112122,-4.733333,2.733333,2.266667
64.440636,5.151456,9.250347,-4.833333,3.766667,0.966667
64.483208,3.671489,8.280325,-5.066667,5.333333,0.666667
64.451393,2.446367,7.265275,-5.500000,7.700000,1.233333
64.351425,358.604553,68.377007,-5.266667,9.400000,2.733333
64.232094,353.696930,118.005035,-4.666667,10.533334,3.466667
64.168526,351.792694,158.669937,-4.333333,10.400000,4.533333
64.173729,355.727173,192.946503,-4.933333,10.133333,3.800000
64.238274,1.599351,159.663788,-5.733333,9.200000,4.266667
64.363594,0.320327,131.948395,-5.566667,9.433333,4.700000
64.534828,359.992523,171.616333,-5.433333,9.100000,4.966667
64.731964,356.087250,203.705292,-4.833333,9.300000,6.700000
64.944267,351.644226,229.439941,-4.233333,9.900000,7.100000
65.167618,354.378845,251.174011,-4.633333,9.700000,6.833333
65.330055,354.061584,269.071899,-4.600000,9.800000,6.800000
65.421288,351.907013,283.481201,-4.233333,9.633333,7.500000
65.428444,354.654999,295.861389,-4.600000,9.266666,7.200000
65.368866,350.288757,305.328064,-3.966667,9.500000,7.633333
65.289032,350.917938,313.257355,-4.066667,9.533334,8.000000
65.221779,346.524689,319.043335,-3.366667,9.100000,8.900000
65.171875,347.886841,324.059998,-3.533333,8.866667,9.533334
65.117195,346.112793,327.895416,-3.200000,8.066667,10.133333
65.057579,343.320343,330.577942,-2.800000,7.666667,10.333333
65.008118,339.517944,332.132568,-2.300000,7.233333,11.233334
64.992256,340.179108,333.532043,-2.333333,6.400000,11.066667
65.016663,339.616913,334.590698,-2.200000,5.066667,11.333333
65.049561,329.272278,333.665894,-1.166667,4.100000,11.766666
65.071472,325.992615,332.331390,-0.966667,2.100000,11.100000
65.094147,327.541534,331.498444,-1.133333,1.133333,10.133333
65.105034,343.556335,333.595917,-2.200000,0.133333,8.333333
65.118721,347.362366,335.990601,-2.433333,-0.033333,6.033333
65.141449,348.620270,338.187622,-2.500000,-0.166667,4.366667
65.203743,349.148865,340.094788,-2.600000,0.333333,3.066667
65.309830,344.733521,340.902588,-2.333333,0.733333,1.933333
65.474358,343.553070,341.365082,-2.266667,0.933333,1.400000
65.695702,345.403656,342.069489,-2.466667,1.600000,0.800000
65.961586,349.179565,343.308563,-2.933333,2.866667,0.133333
66.276711,347.207153,343.989471,-2.833333,3.566667,-0.366667
66.619537,342.811371,343.787567,-2.466667,4.200000,-0.866667
66.966888,343.250275,343.697174,-2.566667,4.900000,-0.833333
67.279846,343.866364,343.729340,-2.700000,5.700000,-0.900000
67.560768,338.454437,342.814270,-2.133333,6.333333,-1.066667
67.822220,337.200623,341.840118,-2.000000,6.600000,-1.333333
68.058701,334.001160,340.478699,-1.633333,6.700000,-1.100000
68.254082,330.289185,338.708038,-1.233333,5.433333,-0.833333
68.396721,332.406555,337.613220,-1.466667,3.666667,-0.600000
68.511536,331.240295,336.505707,-1.400000,1.000000,0.866667
68.612450,327.344086,334.912994,-1.166667,0.100000,2.566667
68.704422,328.916718,333.870789,-1.300000,-0.900000,4.233333
68.781303,326.455597,332.581665,-1.166667,-0.966667,5.900000
68.814690,323.423889,330.989044,-0.966667,-0.566667,7.300000
68.855621,327.845978,330.442688,-1.200000,0.066667,9.266666
68.934975,325.645477,329.608948,-0.966667,1.633333,10.700000
69.063416,321.387756,328.180084,-0.533333,2.733333,11.333333
69.210037,327.754822,328.107391,-1.033333,3.833333,11.566667
69.365921,334.114319,329.153595,-1.633333,5.033333,11.100000
69.549629,335.794037,330.310272,-1.833333,6.366667,11.566667
69.769562,337.405579,331.546387,-2.066667,7.866667,11.066667
70.053825,336.499756,332.410492,-1.966667,8.366667,10.233334
70.372551,342.232544,334.121765,-2.766667,9.100000,9.566667
70.696983,344.253510,335.886963,-3.133333,10.066667,8.733334
71.023346,348.026276,338.001373,-3.766667,10.633333,7.700000
71.350471,348.712158,339.867310,-3.900000,10.833333,6.766667
71.664108,349.309174,341.512421,-4.000000,10.866667,5.866667
71.943794,350.544189,343.085907,-4.200000,10.866667,5.933333
72.172134,348.631470,344.052521,-3.933333,11.200000,5.400000
72.353409,348.120667,344.761719,-3.866667,11.333333,4.200000
72.490227,352.076721,346.035309,-4.400000,10.533334,3.200000
72.600449,354.354340,347.483307,-4.700000,10.100000,3.500000
72.710876,356.994843,349.138733,-5.000000,9.400000,2.200000
72.817909,1.002265,288.584167,-5.533333,8.800000,1.933333
72.920311,1.930391,238.723969,-5.500000,8.033334,1.366667
73.040886,359.754059,259.777222,-5.066667,7.666667,0.933333
73.214905,1.243319,214.808884,-5.266667,7.533333,0.600000
73.443192,1.079944,177.634491,-5.000000,6.533333,0.333333
73.704460,2.276782,147.134750,-5.033333,5.966667,0.100000
74.001801,2.859406,122.041847,-4.866667,5.000000,-0.133333
74.308296,1.111946,101.009781,-4.433333,4.166667,0.100000
74.637566,359.875610,146.040283,-4.200000,3.800000,0.066667
75.016808,357.536560,182.831680,-3.900000,3.633333,-0.166667
75.417427,355.061920,212.793259,-3.633333,3.633333,-0.100000
75.809303,354.282379,237.407593,-3.633333,4.100000,-0.700000
76.167557,353.902313,257.674042,-3.833333,5.500000,-0.833333
76.496010,358.130005,275.150452,-4.700000,7.100000,-0.033333
76.755554,356.324097,289.272247,-4.800000,8.933333,1.200000
76.939613,354.868713,300.683838,-4.700000,9.633333,1.766667
77.034760,348.712158,309.038818,-3.900000,10.833333,2.566667
77.050728,344.226471,315.159576,-3.233333,11.233334,4.100000
77.002647,341.880035,319.806946,-2.900000,11.700000,5.233333
76.855240,340.134430,323.341431,-2.600000,11.266666,6.733333
76.623695,334.027740,325.198181,-1.666667,10.933333,8.533334
76.336235,328.350159,325.743927,-0.833333,10.566667,9.033334
76.035995,326.917542,325.945435,-0.666667,9.666667,10.066667
75.746422,324.242645,325.646698,-0.366667,8.566667,10.700000
75.498581,330.681244,326.520233,-1.233333,7.566667,11.233334
75.295387,331.443726,327.374847,-1.333333,7.066667,11.200000
75.122070,331.949188,328.168976,-1.400000,6.333333,11.333333
75.050606,326.740875,327.919952,-0.833333,5.900000,11.633333
75.078674,320.224487,326.581635,-0.233333,4.633333,11.633333
75.172058,317.259033,324.960876,0.066667,4.533333,11.600000
75.306595,314.647491,323.168121,0.266667,4.000000,11.533334
75.442810,316.131561,321.945374,0.066667,3.666667,11.600000
75.560104,313.311432,320.444611,0.200000,2.733333,11.200000
75.630455,313.428040,319.224762,-0.033333,1.366667,10.366667
75.687332,313.887695,318.296936,-0.266667,0.133333,9.400000
75.721359,315.060364,317.734253,-0.433333,-0.433333,8.500000
75.756187,303.894897,315.327301,0.166667,-1.166667,7.033333
75.807983,299.677185,312.605530,0.433333,-1.300000,4.966667
75.891388,295.476929,309.626892,0.833333,-1.100000,3.500000
76.029266,302.477600,308.384552,0.500000,-0.300000,2.166667
76.216011,305.396545,307.866455,0.533333,0.800000,0.866667
76.457420,309.642090,308.177429,0.300000,1.433333,-0.100000
76.719856,313.905396,309.176086,0.133333,2.666667,-0.733333
76.972511,316.651367,310.478577,0.100000,4.300000,-1.300000
77.201164,322.351288,312.545746,-0.366667,5.633333,-1.566667
77.397514,322.273651,314.239563,-0.300000,6.300000,-1.500000
77.562706,324.520935,316.029388,-0.500000,7.166667,-1.833333
77.703468,323.473938,317.325531,-0.300000,8.100000,-1.500000
77.824913,325.957062,318.827972,-0.600000,8.466666,-1.466667
77.939133,328.233002,320.464905,-0.866667,9.266666,-0.866667
78.052856,328.058014,321.786682,-0.833333,9.500000,-0.633333
78.211670,330.135437,323.240295,-1.100000,10.366667,-0.033333
78.408112,331.171082,324.621521,-1.233333,11.433333,1.166667
78.626656,330.807739,325.699493,-1.166667,12.033334,3.500000
78.860184,332.924194,326.958252,-1.500000,12.366667,3.766667
79.095993,332.085663,327.852203,-1.366667,12.233334,5.100000
79.331421,331.632507,328.511810,-1.300000,11.766666,6.100000
79.555351,330.149902,328.798706,-1.066667,11.866667,7.200000
79.781166,329.053528,328.845032,-0.900000,11.700000,7.566667
79.964561,328.742828,328.828857,-0.866667,11.266666,7.933333
80.102455,328.625854,328.794769,-0.833333,11.700000,7.566667
80.190628,328.360413,328.720001,-0.766667,12.366667,5.833333
80.213310,330.617706,329.050293,-1.133333,12.200000,3.133333
80.162331,325.007813,328.346680,-0.300000,11.166667,1.100000
80.060043,319.576691,326.820313,0.400000,9.800000,-0.333333
79.942383,311.430023,324.142273,1.200000,7.266667,-1.200000
